baseline_noc,scaled_layer,bw_multiplier,bs,seq,orig_sm_count,baseline_sm_count,tp,ep,dp,pp,sp,cp,stps_logic_die,stps_noc_to_dram,orig_stps_from_csv,recon_rel_err
torus_mesh_mesh_3,L2,2.0,4,8192,6,8,32,2,1,2,1,2,59640.00064948542,77163.27465092491,59640.00064948542,0.0
torus_mesh_mesh_3,L3,1.5,256,1024,7,8,1,64,1,4,1,1,160049.13228157532,190879.04666463996,160049.13228157532,0.0
torus_mesh_mesh_3,L3,1.5,256,8192,7,8,2,32,4,1,1,1,98313.23564863992,113180.04507108974,97731.44051014488,0.005952998701934107
torus_mesh_mesh_3,L3,1.5,1024,1024,7,8,1,64,1,4,1,1,162755.19880469612,193406.7500034832,162755.19880469612,0.0
torus_mesh_mesh_3,L3,0.5,16,1024,8,8,8,8,1,2,2,1,147734.66201133482,147734.66201133482,147734.66201133482,0.0
torus_mesh_mesh_3,L3,0.5,1,1024,8,8,64,4,1,1,1,1,11390.974131622534,11390.974131622534,11390.974131622534,0.0
torus_mesh_mesh_3,L2,3.0,4,8192,5,8,32,2,1,2,2,1,49161.624415517166,77163.27465092491,49161.624415517166,0.0
torus_mesh_mesh_3,L3,0.5,16,8192,8,8,8,8,1,2,2,1,102197.78236513962,102197.78236513962,102197.78236513962,0.0
torus_mesh_mesh_3,L3,2.0,64,1024,7,8,2,16,1,4,2,1,149051.71192721868,174723.0611095704,149051.71192721868,0.0
torus_mesh_mesh_3,L2,3.0,4,1024,5,8,32,2,1,2,1,2,46829.787004288504,68455.00560947607,46829.7870042885,1.553702905699127e-16
torus_mesh_mesh_3,L3,1.5,64,8192,7,8,2,16,1,4,2,1,89668.83212717551,104580.01578413979,89668.83212717551,0.0
torus_mesh_mesh_3,L3,2.0,256,1024,7,8,1,64,1,4,1,1,160869.374607609,192046.88033533367,160869.374607609,0.0
torus_mesh_mesh_3,L1,0.25,1,8192,8,8,64,4,1,1,1,1,10875.18530272862,10875.18530272862,10875.18530272862,0.0
torus_mesh_mesh_3,L3,1.0,1,1024,8,8,64,4,1,1,1,1,14146.655811178822,14146.655811178822,14146.655811178822,0.0
torus_mesh_mesh_3,L3,1.0,16,1024,8,8,8,8,1,2,2,1,147734.66201133482,147734.66201133482,147734.66201133482,0.0
torus_mesh_mesh_3,L1,1.5,1,8192,8,8,64,4,1,1,1,1,14005.24235266366,14005.24235266366,14005.24235266366,0.0
torus_mesh_mesh_3,L1,0.5,1,8192,8,8,64,4,1,1,1,1,12758.42733936244,12758.42733936244,12758.42733936244,0.0
torus_mesh_mesh_3,L3,3.0,64,1024,6,8,2,16,1,4,2,1,131952.51139078365,176690.07698025033,131952.51139078365,0.0
torus_mesh_mesh_3,L3,0.25,4,1024,9,8,32,2,1,2,2,1,76696.46260341043,68081.68919541845,76696.46260341043,0.0
torus_mesh_mesh_3,L3,1.0,16,8192,8,8,8,8,1,2,2,1,102197.78236513962,102197.78236513962,102197.78236513962,0.0
torus_mesh_mesh_3,L3,3.0,256,1024,6,8,1,64,1,4,1,1,142635.63184916886,193229.09202260198,142635.63184916886,0.0
torus_mesh_mesh_3,L3,2.0,64,8192,7,8,2,16,1,4,2,1,90184.08078678441,105281.5460805158,90184.0807867844,1.6135791484941647e-16
torus_mesh_switch_1,L1,0.25,64,1024,8,8,2,8,1,8,2,1,160885.6914625262,160885.6914625262,160885.6914625262,0.0
torus_mesh_switch_1,L1,0.25,256,1024,8,8,1,16,2,8,1,1,176494.31297959576,176494.31297959576,176494.31297959576,0.0
torus_mesh_mesh_3,L3,2.0,256,8192,7,8,1,64,4,1,1,1,99271.14492510133,114312.59359558909,99271.14492510133,0.0
torus_mesh_mesh_3,L3,2.0,1024,1024,7,8,2,32,4,1,1,1,170863.79030649803,203924.94730212068,164531.46990364924,0.03848698614652289
torus_mesh_mesh_3,L2,4.0,4,1024,3,8,32,2,1,2,1,2,31274.169591568065,68455.00560947607,31274.169591568065,0.0
torus_mesh_mesh_3,L3,0.25,4,8192,9,8,32,2,1,2,1,2,84132.08784216156,76690.11470770676,84132.08784216156,0.0
torus_mesh_mesh_3,L3,0.5,4,1024,8,8,32,2,1,2,2,1,68081.68919541845,68081.68919541845,68081.68919541845,0.0
torus_mesh_switch_1,L1,0.25,16,8192,8,8,8,2,1,8,2,1,83543.07249541559,83543.07249541559,83543.07249541559,0.0
torus_mesh_switch_1,L1,0.25,256,8192,8,8,1,16,2,8,1,1,103057.7333034412,103057.7333034412,101564.52546249442,0.014702060922818852
torus_mesh_switch_1,L1,0.25,1,1024,8,8,16,16,1,1,1,1,12088.81619918591,12088.81619918591,12088.81619918591,0.0
torus_mesh_mesh_3,L3,1.5,1,1024,7,8,64,4,1,1,1,1,13723.466820559364,15246.5144374452,13723.466820559364,0.0
torus_mesh_switch_1,L1,0.25,64,8192,8,8,2,8,1,8,2,1,99413.06733140728,99413.06733140728,99413.06733140728,0.0
torus_mesh_switch_1,L1,0.25,1024,1024,8,8,1,16,1,16,1,1,169912.5769050476,169912.5769050476,169912.5769050476,0.0
torus_mesh_switch_1,L1,0.25,16,1024,8,8,8,4,1,4,2,1,114248.0897741746,114248.0897741746,114248.0897741746,0.0
torus_mesh_switch_1,L1,0.5,256,1024,8,8,1,16,2,8,1,1,176609.40460451043,176609.40460451043,176609.40460451043,0.0
