baseline_noc,scaled_layer,bw_multiplier,bs,orig_sm_count,baseline_sm_count,tp,ep,dp,pp,stps_logic_die,stps_noc_to_dram,orig_stps_from_csv
torus_mesh_switch_1,L1,2.0,256,8,8,8,16,1,2,11501.606091542824,11501.606091542824,11501.606091542824
torus_mesh_switch_1,L2,0.25,256,9,8,8,16,1,2,11429.0281522771,11454.88845970353,11429.0281522771
torus_mesh_mesh_3,L3,1.5,16,7,8,32,8,1,1,1203.909784849745,1293.1928656888988,1203.909784849745
torus_mesh_switch_1,L2,0.25,64,9,8,16,16,1,1,4774.327601706345,4995.600060542453,4774.327601706345
torus_mesh_mesh_3,L3,1.5,4,7,8,32,8,1,1,286.7810274110547,298.36382927904526,286.7810274110547
torus_mesh_switch_1,L2,0.25,4096,9,8,1,32,1,8,52208.96679856549,50140.90563323316,52208.96679856549
torus_mesh_mesh_3,L3,2.0,1,7,8,32,8,1,1,72.08332154195045,75.24031324757615,72.08332154195045
torus_mesh_switch_1,L2,0.5,1,9,8,16,16,1,1,78.09436419459215,76.22827887959,78.09436419459215
torus_mesh_switch_1,L1,3.0,1024,7,8,4,32,1,2,34912.10104502828,38117.137267402264,34912.10104502828
torus_mesh_switch_1,L2,0.5,256,9,8,8,16,1,2,11458.072929314307,11484.064057201691,11458.072929314309
torus_mesh_switch_1,L1,2.0,16,8,8,32,8,1,1,1318.2132989382321,1318.2132989382321,1318.213298938232
torus_mesh_switch_1,L1,4.0,1024,7,8,4,32,1,2,34914.55188084369,38120.1710196886,34914.55188084369
torus_mesh_switch_1,L2,0.5,4096,9,8,1,32,1,8,52208.96679856549,50140.90563323316,52208.96679856549
torus_mesh_switch_1,L2,1.0,1,8,8,16,16,1,1,76.33441672393032,76.33441672393032,76.33441672393032
torus_mesh_switch_1,L2,1.0,256,8,8,8,16,1,2,11498.707673960138,11498.707673960138,11498.707673960138
torus_mesh_switch_1,L2,0.5,64,9,8,16,16,1,1,4846.176568462905,5074.317584644772,4846.176568462905
torus_mesh_mesh_3,L3,2.0,16,7,8,32,8,1,1,1205.3623944338387,1298.2340437809455,1205.3623944338387
torus_mesh_switch_1,L2,1.0,4096,8,8,1,32,1,8,50140.90563323316,50140.90563323316,50140.90563323316
torus_mesh_mesh_3,L3,4.0,1024,5,8,4,32,1,2,27396.86016014262,38315.92856456967,27396.86016014262
torus_mesh_switch_1,L2,1.5,1,7,8,16,16,1,1,73.03953599505637,76.36986171975592,73.03953599505637
torus_mesh_switch_1,L2,1.0,64,8,8,16,16,1,1,5086.777173475199,5086.777173475199,5086.777173475199
torus_mesh_switch_1,L2,1.5,256,7,8,8,16,1,2,11044.679363404908,11511.553381455728,11044.679363404908
torus_mesh_switch_1,L2,0.25,1024,9,8,4,32,1,2,39997.04574392989,37939.59491149837,39997.04574392989
torus_mesh_switch_1,L1,4.0,16,7,8,32,8,1,1,1229.6812454549104,1318.406801363073,1229.6812454549104
torus_mesh_mesh_3,L3,3.0,1,6,8,32,8,1,1,70.17143271105229,75.24031324757615,70.17143271105229
torus_mesh_switch_1,L2,1.5,4096,7,8,1,32,1,8,43592.86430795441,50140.90563323316,43592.86430795441
torus_mesh_switch_1,L2,1.5,64,7,8,16,16,1,1,4747.064780444588,5110.998811485834,4747.064780444588
torus_mesh_mesh_3,L3,3.0,4,6,8,32,8,1,1,279.4548153292492,299.1885764256065,279.4548153292492
torus_mesh_mesh_3,L3,2.0,1024,7,8,4,32,1,2,34255.52647730572,36513.5878622624,34255.52647730572
torus_mesh_switch_1,L2,2.0,256,6,8,8,16,1,2,9502.34662545922,11516.401545586952,9502.34662545922
torus_mesh_switch_1,L2,0.5,1024,9,8,4,32,1,2,40086.959249836626,38020.469990399586,40086.95924983663
torus_mesh_mesh_3,L3,3.0,16,6,8,32,8,1,1,1172.8423783071405,1302.2610986736975,1172.8423783071405
torus_mesh_switch_1,L2,2.0,4096,6,8,1,32,1,8,38365.63689018869,50140.90563323316,38365.63689018869
torus_mesh_switch_1,L2,1.0,1024,8,8,4,32,1,2,38061.037122151036,38061.037122151036,38061.03712215104
torus_mesh_switch_1,L2,2.0,64,6,8,16,16,1,1,4581.449583729522,5114.723084926873,4581.449583729522
torus_mesh_switch_1,L2,0.25,16,9,8,32,8,1,1,1235.6582325349666,1289.562038645214,1235.6582325349666
torus_mesh_mesh_3,L3,4.0,4096,5,8,1,32,1,8,33708.489419830286,52883.06491192658,33708.489419830286
torus_mesh_switch_1,L2,3.0,256,5,8,8,16,1,2,8553.716574982844,11534.964035128294,8553.716574982844
torus_mesh_switch_1,L2,1.5,1024,7,8,4,32,1,2,34876.76360732477,38074.5787667307,34876.76360732477
torus_mesh_switch_1,L2,3.0,4096,5,8,1,32,1,8,33213.58844378042,50140.90563323316,33213.58844378042
torus_mesh_switch_1,L2,0.5,16,9,8,32,8,1,1,1260.6778054702963,1316.8361430593939,1260.6778054702963
torus_mesh_switch_1,L2,3.0,64,5,8,16,16,1,1,3775.051369087433,5116.7129211521005,3775.051369087433
torus_mesh_switch_1,L2,4.0,256,3,8,8,16,1,2,5505.925954800965,11536.390766092518,5505.925954800965
torus_mesh_switch_1,L2,0.25,1,9,8,32,8,1,1,77.82228231130483,75.99616471468059,77.82228231130483
torus_mesh_mesh_3,L3,1.0,16,8,8,32,8,1,1,1283.2270618704324,1283.2270618704324,1283.2270618704324
torus_mesh_switch_1,L2,1.0,16,8,8,32,8,1,1,1317.826464448199,1317.826464448199,1317.826464448199
torus_mesh_switch_1,L2,4.0,4096,3,8,1,32,1,8,20475.97420046407,50140.90563323316,20475.97420046407
torus_mesh_mesh_3,L3,4.0,1,5,8,32,8,1,1,61.859165685876526,75.24031324757615,61.859165685876526
torus_mesh_mesh_3,L3,4.0,16,5,8,32,8,1,1,988.9175348732285,1302.2610986736975,988.9175348732284
torus_mesh_switch_1,L3,0.25,1,9,8,16,16,1,1,77.6002043894227,75.7573854429395,77.6002043894227
torus_mesh_switch_1,L2,1.5,16,7,8,32,8,1,1,1229.4638249641607,1318.1569026833934,1229.4638249641607
torus_mesh_switch_1,L2,4.0,64,3,8,16,16,1,1,2687.717286920697,5117.335599709678,2687.717286920697
torus_mesh_switch_1,L3,0.25,256,9,8,8,16,1,2,10872.854803501392,10896.273006132282,10872.854803501392
torus_mesh_mesh_3,L3,4.0,4,5,8,32,8,1,1,246.42005509206547,299.1918070348074,246.42005509206547
torus_mesh_mesh_3,L3,2.0,4,7,8,32,8,1,1,286.9077251568341,298.7756336694632,286.9077251568341
torus_mesh_switch_1,L3,0.25,64,9,8,16,16,1,1,4494.423053314171,4689.981574448758,4494.423053314171
torus_mesh_switch_1,L3,0.5,1,8,8,16,16,1,1,76.14109869934208,76.14109869934208,76.14109869934208
torus_mesh_switch_1,L1,3.0,16,7,8,32,8,1,1,1229.625122559687,1318.3422942427062,1229.625122559687
torus_mesh_switch_1,L2,3.0,1024,5,8,4,32,1,2,27341.719476685263,38088.130062159646,27341.719476685263
torus_mesh_switch_1,L3,0.5,256,8,8,8,16,1,2,11290.626601551161,11290.626601551161,11290.62660155116
torus_mesh_switch_1,L2,2.0,16,6,8,32,8,1,1,1193.9949117883536,1318.3221839533546,1193.9949117883536
torus_mesh_switch_1,L3,0.25,4096,9,8,2,8,1,16,42488.38981831272,39732.37176727248,42488.38981831272
torus_mesh_switch_1,L3,0.5,4096,8,8,1,32,1,8,45912.45133446847,45912.45133446847,45912.45133446847
torus_mesh_switch_1,L3,0.5,64,8,8,16,16,1,1,4947.255251667701,4947.255251667701,4947.255251667701
torus_mesh_switch_1,L3,1.0,1,8,8,16,16,1,1,76.33441672393032,76.33441672393032,76.33441672393032
torus_mesh_switch_1,L3,1.0,256,8,8,8,16,1,2,11498.707673960138,11498.707673960138,11498.707673960138
torus_mesh_switch_1,L2,4.0,1024,3,8,4,32,1,2,17106.280459837213,38091.519395172654,17106.280459837213
torus_mesh_switch_1,L2,3.0,16,5,8,32,8,1,1,1002.3063490307125,1318.4875066790119,1002.3063490307125
