point_id,phase,model,baseline_noc,scaled_layer,bw_multiplier,bs,minibatch,seq,orig_sm_count,baseline_sm_count,num_devices,tp,ep,dp,pp,sp,cp,onex_tp,onex_ep,onex_dp,onex_pp,kv_len_1,kv_len_2,kv_len_3,kv_len_4,tp_transform_moe,paper_logic_stps,paper_dram_stps,paper_dse_stps,paper_recon_rel_err
decode_0073,decode,DeepSeekV3,torus_mesh_mesh_3,L2,1.5,16,16,1,7,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,1201.60703262784,1283.90282468386,1201.60703262784,0
decode_0074,decode,DeepSeekV3,torus_mesh_mesh_3,L2,1.5,64,64,1,7,8,256,16,16,1,1,1,1,16,16,1,1,1024,1365,1707,2048,replace_only,4416.87355576835,4496.9115335212,4416.87355576835,0
decode_0075,decode,DeepSeekV3,torus_mesh_mesh_3,L2,1.5,256,128,1,7,8,256,8,16,1,2,1,1,8,16,1,2,1024,1365,1707,2048,replace_only,10587.5527527398,11020.3398909946,10587.5527527398,0
decode_0076,decode,DeepSeekV3,torus_mesh_mesh_3,L2,1.5,1024,512,1,7,8,256,4,32,1,2,1,1,4,32,1,2,1024,1365,1707,2048,replace_only,30038.6801198905,31471.2490419858,30038.6801198905,0
decode_0077,decode,DeepSeekV3,torus_mesh_mesh_3,L2,1.5,4096,512,1,7,8,256,1,32,1,8,1,1,1,32,1,8,1024,1365,1707,2048,replace_only,44761.6930842247,52484.491956643,44761.6930842247,0
decode_0078,decode,DeepSeekV3,torus_mesh_mesh_3,L2,2,1,1,1,6,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,70.1617590558422,75.2069581163819,70.1617590558422,0
decode_0079,decode,DeepSeekV3,torus_mesh_mesh_3,L2,2,4,4,1,6,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,278.995944805612,297.616380664258,278.995944805612,0
decode_0080,decode,DeepSeekV3,torus_mesh_mesh_3,L2,2,16,16,1,6,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,1167.75450367633,1283.90282468386,1167.75450367633,0
decode_0081,decode,DeepSeekV3,torus_mesh_mesh_3,L2,2,64,64,1,6,8,256,16,16,1,1,1,1,16,16,1,1,1024,1365,1707,2048,replace_only,4271.28077722211,4496.9115335212,4271.28077722211,0
decode_0082,decode,DeepSeekV3,torus_mesh_mesh_3,L2,2,256,128,1,6,8,256,8,16,1,2,1,1,8,16,1,2,1024,1365,1707,2048,replace_only,9209.30200036783,11020.3398909946,9209.30200036783,0
decode_0083,decode,DeepSeekV3,torus_mesh_mesh_3,L2,2,1024,512,1,6,8,256,4,32,1,2,1,1,4,32,1,2,1024,1365,1707,2048,replace_only,27263.9529723527,31471.2490419858,27263.9529723527,0
decode_0084,decode,DeepSeekV3,torus_mesh_mesh_3,L2,2,4096,512,1,6,8,256,1,32,1,8,1,1,1,32,1,8,1024,1365,1707,2048,replace_only,39145.5720023147,52484.491956643,39145.5720023147,0
decode_0085,decode,DeepSeekV3,torus_mesh_mesh_3,L2,3,1,1,1,5,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,61.8457945944159,75.2069581163819,61.8457945944159,0
decode_0086,decode,DeepSeekV3,torus_mesh_mesh_3,L2,3,4,4,1,5,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,245.87577892132,297.616380664258,245.87577892132,0
decode_0087,decode,DeepSeekV3,torus_mesh_mesh_3,L2,3,16,16,1,5,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,983.445123727753,1283.90282468386,983.445123727753,0
decode_0088,decode,DeepSeekV3,torus_mesh_mesh_3,L2,3,64,64,1,5,8,256,16,16,1,1,1,1,16,16,1,1,1024,1365,1707,2048,replace_only,3527.01944558715,4496.9115335212,3527.01944558715,0
decode_0089,decode,DeepSeekV3,torus_mesh_mesh_3,L2,3,256,128,1,5,8,256,8,16,1,2,1,1,8,16,1,2,1024,1365,1707,2048,replace_only,8305.98306368091,11020.3398909946,8305.98306368091,0
decode_0090,decode,DeepSeekV3,torus_mesh_mesh_3,L2,3,1024,512,1,5,8,256,4,32,1,2,1,1,4,32,1,2,1024,1365,1707,2048,replace_only,25077.7171544839,31471.2490419858,25077.7171544839,0
decode_0091,decode,DeepSeekV3,torus_mesh_mesh_3,L2,3,4096,512,1,5,8,256,1,32,1,8,1,1,1,32,1,8,1024,1365,1707,2048,replace_only,33546.0853868528,52484.491956643,33546.0853868528,0
decode_0092,decode,DeepSeekV3,torus_mesh_mesh_3,L2,4,1,1,1,3,8,256,64,4,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,46.2695567691276,75.2069581163819,46.2695567691276,0
decode_0093,decode,DeepSeekV3,torus_mesh_mesh_3,L2,4,4,4,1,3,8,256,64,4,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,184.358709395075,297.616380664258,184.358709395075,0
decode_0094,decode,DeepSeekV3,torus_mesh_mesh_3,L2,4,16,16,1,3,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,714.224642009082,1283.90282468386,714.224642009082,0
decode_0095,decode,DeepSeekV3,torus_mesh_mesh_3,L2,4,64,64,1,3,8,256,16,16,1,1,1,1,16,16,1,1,1024,1365,1707,2048,replace_only,2566.17106726897,4496.9115335212,2566.17106726897,0
decode_0096,decode,DeepSeekV3,torus_mesh_mesh_3,L2,4,256,128,1,3,8,256,8,16,1,2,1,1,8,16,1,2,1024,1365,1707,2048,replace_only,5421.67164379077,11020.3398909946,5421.67164379077,0
decode_0097,decode,DeepSeekV3,torus_mesh_mesh_3,L2,4,1024,512,1,3,8,256,4,32,1,2,1,1,4,32,1,2,1024,1365,1707,2048,replace_only,16822.4996810941,31471.2490419858,16822.4996810941,0
decode_0098,decode,DeepSeekV3,torus_mesh_mesh_3,L2,4,4096,512,1,3,8,256,1,32,1,8,1,1,1,32,1,8,1024,1365,1707,2048,replace_only,20499.4990053645,52484.491956643,20499.4990053645,0
decode_0099,decode,DeepSeekV3,torus_mesh_mesh_3,L3,0.25,1,1,1,9,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,76.5875901483302,74.8141784479362,76.5875901483302,0
decode_0100,decode,DeepSeekV3,torus_mesh_mesh_3,L3,0.25,4,4,1,9,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,297.033101702433,290.359743373934,297.033101702433,0
decode_0101,decode,DeepSeekV3,torus_mesh_mesh_3,L3,0.25,16,16,1,9,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,1153.18639471075,1199.99876723775,1153.18639471075,0
decode_0102,decode,DeepSeekV3,torus_mesh_mesh_3,L3,0.25,64,64,1,9,8,256,16,16,1,1,1,1,16,16,1,1,1024,1365,1707,2048,replace_only,3358.65002046322,3458.00430201689,3358.65002046322,0
decode_0103,decode,DeepSeekV3,torus_mesh_mesh_3,L3,0.25,256,64,1,9,8,256,4,16,1,4,1,1,8,16,1,2,1024,1365,1707,2048,replace_only,10045.1273319284,10032.2940201379,10045.1273319284,0
decode_0104,decode,DeepSeekV3,torus_mesh_mesh_3,L3,0.25,1024,256,1,9,8,256,4,16,1,4,1,1,4,32,1,2,1024,1365,1707,2048,replace_only,29844.9522865783,28135.5316929402,29844.9522865783,0
decode_0105,decode,DeepSeekV3,torus_mesh_mesh_3,L3,0.25,4096,512,1,9,8,256,1,32,1,8,1,1,1,32,1,8,1024,1365,1707,2048,replace_only,52979.3815641786,50948.6136286465,52979.3815641786,0
decode_0106,decode,DeepSeekV3,torus_mesh_mesh_3,L3,0.5,1,1,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,75.0632259105192,75.0632259105192,75.0632259105192,0
decode_0107,decode,DeepSeekV3,torus_mesh_mesh_3,L3,0.5,4,4,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,295.109816595207,295.109816595207,295.109816595207,0
decode_0108,decode,DeepSeekV3,torus_mesh_mesh_3,L3,0.5,16,16,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,1254.23046239603,1254.23046239603,1254.23046239603,0
decode_0109,decode,DeepSeekV3,torus_mesh_mesh_3,L3,0.5,64,64,1,8,8,256,16,16,1,1,1,1,16,16,1,1,1024,1365,1707,2048,replace_only,4090.69766955691,4090.69766955691,4090.69766955691,0
decode_0110,decode,DeepSeekV3,torus_mesh_mesh_3,L3,0.5,256,128,1,8,8,256,8,16,1,2,1,1,8,16,1,2,1024,1365,1707,2048,replace_only,10599.3553684195,10599.3553684195,10599.3553684195,0
decode_0111,decode,DeepSeekV3,torus_mesh_mesh_3,L3,0.5,1024,256,1,8,8,256,4,16,1,4,1,1,4,32,1,2,1024,1365,1707,2048,replace_only,29401.4214450956,29401.4214450956,29401.4214450956,0
decode_0112,decode,DeepSeekV3,torus_mesh_mesh_3,L3,0.5,4096,512,1,8,8,256,1,32,1,8,1,1,1,32,1,8,1024,1365,1707,2048,replace_only,51962.329286381,51962.329286381,51962.329286381,0
decode_0113,decode,DeepSeekV3,torus_mesh_mesh_3,L3,1,1,1,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,75.1883724888956,75.1883724888956,75.1883724888956,0
decode_0114,decode,DeepSeekV3,torus_mesh_mesh_3,L3,1,4,4,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,297.543616817552,297.543616817552,297.543616817552,0
decode_0115,decode,DeepSeekV3,torus_mesh_mesh_3,L3,1,16,16,1,8,8,256,32,8,1,1,1,1,32,8,1,1,1024,1365,1707,2048,replace_only,1283.22706187043,1283.22706187043,1283.22706187043,0
decode_0116,decode,DeepSeekV3,torus_mesh_mesh_3,L3,1,64,64,1,8,8,256,16,16,1,1,1,1,16,16,1,1,1024,1365,1707,2048,replace_only,4495.29775629434,4495.29775629434,4495.29775629434,0
decode_0117,decode,DeepSeekV3,torus_mesh_mesh_3,L3,1,256,128,1,8,8,256,8,16,1,2,1,1,8,16,1,2,1024,1365,1707,2048,replace_only,11017.5192476657,11017.5192476657,11017.5192476657,0
