candidate_id,phase,model,bs,tier,tier_order,arch,noc,minibatch,seq,cached_kv,tp,ep,ep1,ep2,sp,cp,dp,fsdp,pp,tp_transform_moe,max_activation_gib,mem_weight_gib,kv_cache_gib,paper_utps,paper_stps,source_stats_run_id,source_candidate_count,source_tie_count,runner_up_gap_pct,kv_len_1,kv_len_2,kv_len_3,kv_len_4
prefill_deepseek_bs4_module_flexible,prefill,DeepSeekV3,4,module_flexible,3,stacked_gpu_wgmma,torus_mesh_switch_1,2,1024,1024,32,2,1,2,2,1,1,False,2,replace_only,0.0225830078125,6.84666657447815,6.54458999633789e-05,14155.8905214736,56623.5620858945,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_098c83f2e0,223,1,0.814603763420352,,,,
prefill_deepseek_bs8_astra_space,prefill,DeepSeekV3,8,astra_space,1,stacked_gpu_wgmma,torus_mesh_switch_1,2,1024,1024,32,1,1,1,1,1,2,False,4,none,0.04327392578125,5.44307899475098,6.54458999633789e-05,2561.16910904698,20489.3528723758,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_1ba8f41dce,7,1,15.4464947462958,,,,
prefill_deepseek_bs8_expanded_parallel,prefill,DeepSeekV3,8,expanded_parallel,2,stacked_gpu_wgmma,torus_mesh_switch_1,2,1024,1024,4,8,1,8,2,1,1,False,4,none,0.021484375,6.25448608398438,6.54458999633789e-05,5600.77530347216,44806.2024277773,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_e0c988aee8,190,1,0.4879493537297,,,,
prefill_deepseek_bs8_module_flexible,prefill,DeepSeekV3,8,module_flexible,3,stacked_gpu_wgmma,torus_mesh_switch_1,2,1024,1024,16,2,1,2,2,1,1,False,4,replace_only,0.0303955078125,6.13505554199219,6.54458999633789e-05,10372.7397179086,82981.917743269,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_dd2c5a3c6b,361,1,0.918122409815225,,,,
prefill_deepseek_bs16_astra_space,prefill,DeepSeekV3,16,astra_space,1,stacked_gpu_wgmma,torus_mesh_switch_1,2,1024,1024,16,1,1,1,1,1,2,False,8,none,0.0589599609375,5.61989212036133,6.54458999633789e-05,1977.54217528723,31640.6748045956,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_c006498a43,9,1,1.16273971726268,,,,
prefill_deepseek_bs16_expanded_parallel,prefill,DeepSeekV3,16,expanded_parallel,2,stacked_gpu_wgmma,torus_mesh_switch_1,2,1024,1024,4,4,1,4,2,1,1,False,8,none,0.02264404296875,5.99851989746094,6.54458999633789e-05,3747.51233367651,59960.1973388242,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_48d322570a,260,1,0.327017839385391,,,,
prefill_deepseek_bs16_module_flexible,prefill,DeepSeekV3,16,module_flexible,3,stacked_gpu_wgmma,torus_mesh_switch_1,4,1024,1024,8,4,1,4,2,1,1,False,4,replace_only,0.0303955078125,6.32771301269531,6.54458999633789e-05,7239.19760513499,115827.16168216,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_f7dfd741c0,501,1,0.33727226064264,,,,
prefill_deepseek_bs64_astra_space,prefill,DeepSeekV3,64,astra_space,1,stacked_gpu_wgmma,torus_mesh_switch_1,2,1024,1024,4,1,1,1,1,1,2,False,32,none,0.153076171875,5.54763412475586,6.54458999633789e-05,1138.60197321367,72870.5262856747,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_4ae3b56dec,13,1,8.0672704481308,,,,
prefill_deepseek_bs64_expanded_parallel,prefill,DeepSeekV3,64,expanded_parallel,2,stacked_gpu_wgmma,torus_mesh_switch_1,8,1024,1024,2,8,1,8,2,1,1,False,8,none,0.0455322265625,6.51681518554688,6.54458999633789e-05,2219.84548991273,142070.111354415,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_33cc261be4,376,1,0.249914273892793,,,,
prefill_deepseek_bs64_module_flexible,prefill,DeepSeekV3,64,module_flexible,3,stacked_gpu_wgmma,torus_mesh_switch_1,8,1024,1024,2,8,1,8,2,1,1,False,8,replace_only,0.0460205078125,6.68087768554688,6.54458999633789e-05,2532.48653457952,162079.138213089,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_72bc21350d,733,1,0.285011658171108,,,,
